Pointer Name,Target Data Type,DataStructType
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
aramCmapDatPat_t *,aramCmapDatPat_t,Structure
astruct *,astruct,Structure
base_process_class *,base_process_class,Structure
bdkobj_class *,bdkobj_class,Structure
bgn3_class *,bgn3_class,Structure
bk_class *,bk_class,Structure
bmd_class *,bmd_class,Structure
bo_class *,bo_class,Structure
bool *,bool,Unknown
bpw_class *,bpw_class,Structure
br_s *,br_s,Structure
bridge_class *,bridge_class,Structure
bst_class *,bst_class,Structure
byte *,byte,Unknown
byte * *,byte *,Pointer
cBgD_Vtx_t *,cBgD_Vtx_t,Structure
